NAME;CITY;ID NUMBER;GENDER;SOCIAL STATUS;AGE;EDUCATION LEVEL;NEWS TYPE;FAKE NEWS SHARED THIS MONTH
Dong Rowe;Cartagena;141-61-8964;M;1;55;Tecnico;Politica;1
Bertie Witting;Barranquilla;331-10-3831;F;6;25;Tecnico;Cientifica;4
Shakia Kohler;Santa Marta;731-21-1417;M;2;40;Profesional especializacion/master;Cientifica,Politica,Economica;4
Delilah Abernathy;Cartagena;482-50-9706;F;3;20;Profesional;Economica,Cientifica,Politica;1
Donny Hills;Santa Marta;832-85-2949;M;4;55;Tecnico;;0
Pres. Guillermo Yundt;Barranquilla;141-77-3830;M;1;37;Profesional especializacion/master;Politica,Farandula,Economica;6
Pattie Ebert DC;Barranquilla;532-71-0399;M;5;21;Profesional;;0
Rutha Pfannerstill;Santa Marta;352-29-7952;M;1;57;Tecnico;Politica,Cientifica,Economica,Farandula;1
Ed Flatley;Cartagena;877-86-5524;F;3;60;Profesional;Politica,Farandula;1
Jessie Purdy;Barranquilla;604-58-8560;F;2;57;Profesional;Farandula,Politica,Cientifica,Economica;1
Mr. Kristopher Howe;Santa Marta;091-52-5550;M;6;36;Profesional especializacion/master;Politica,Farandula;5
Cecil Swift;Barranquilla;117-49-8795;F;4;34;Tecnico;Cientifica,Politica,Economica;4
Albert Davis;Santa Marta;450-81-9489;M;6;24;Tecnico;Cientifica;5
Andres Weimann;Santa Marta;064-19-3821;M;4;16;Profesional;Politica,Farandula,Economica,Cientifica;1
Keith Doyle;Santa Marta;093-11-1199;F;2;37;Tecnico;Cientifica,Economica,Politica;4
Beau Dooley;Barranquilla;122-86-3274;M;5;59;Profesional;Economica,Cientifica,Farandula,Politica;1
Glenda Hintz;Cartagena;520-97-9978;F;1;26;Tecnico;Farandula;5
Allen Waelchi;Cartagena;228-52-0887;M;3;39;Tecnico;Economica;5
Ms. Leigh Turner;Cartagena;164-80-2244;F;5;44;Profesional;Farandula,Cientifica,Politica;6
Fernando Koelpin;Cartagena;899-73-6445;F;2;58;Profesional;;0
Amb. Coleen Mayert;Santa Marta;754-80-8830;F;6;50;Tecnico;;0
Randell Douglas;Barranquilla;114-83-6191;M;3;54;Tecnico;;0
Jesusa Farrell;Cartagena;170-77-6830;F;5;47;Profesional;Economica,Politica,Farandula,Cientifica;1
Palmer Cole;Santa Marta;491-35-0503;F;5;16;Profesional;Economica,Cientifica;1
Ronald Mueller;Cartagena;117-17-4440;F;2;53;Profesional;Politica;1
Kristan Donnelly DDS;Barranquilla;803-74-5897;F;5;60;Tecnico;;0
Dusty Rowe;Barranquilla;657-77-1940;F;2;46;Tecnico;;0
Karena Conn;Santa Marta;697-97-1255;F;3;46;Profesional;Economica,Politica,Farandula,Cientifica;1
Mrs. Romaine Harris;Cartagena;647-72-2931;M;5;29;Tecnico;Cientifica;6
Rebecka Kozey;Cartagena;658-51-6413;M;6;23;Profesional;Economica,Cientifica,Politica,Farandula;6
Providencia Medhurst;Barranquilla;309-18-1924;M;4;47;Profesional;;0
Vicenta O'Keefe;Cartagena;832-98-1049;F;5;42;Profesional;Economica,Politica,Farandula;6
Selene Treutel;Santa Marta;532-78-3715;F;2;19;Profesional;Economica,Cientifica,Politica,Farandula;1
Msgr. Porsha Grimes;Cartagena;790-72-3138;F;5;57;Profesional;Economica;1
Alona Carter;Santa Marta;558-18-6799;F;5;57;Profesional;;0
Charlie Wilkinson Jr.;Cartagena;863-43-3692;M;2;23;Tecnico;Farandula,Politica,Cientifica;6
Sen. Garret Emard;Barranquilla;131-34-6878;F;5;40;Tecnico;Farandula,Cientifica,Politica,Economica;5
Zulema White;Santa Marta;874-31-8371;M;6;14;Colegio;;0
Rep. Antony Heaney;Barranquilla;362-97-5709;M;2;52;Tecnico;Cientifica,Economica;1
Aubrey Dooley;Barranquilla;112-37-1757;M;3;28;Profesional especializacion/master;Cientifica,Politica,Economica;5
Amb. Wynona Stokes;Santa Marta;419-72-2034;F;1;37;Tecnico;Politica;4
Vance Hudson;Santa Marta;660-32-7032;F;5;41;Profesional;Politica;6
Ms. Emerson Kub;Cartagena;803-52-8907;F;6;52;Tecnico;;0
Shawnee Crist;Barranquilla;026-38-1748;F;3;37;Tecnico;Politica;5
Gary Nitzsche;Barranquilla;513-55-9937;F;1;38;Profesional;Politica,Cientifica,Farandula,Economica;4
Alvin Emard;Cartagena;417-56-4003;F;4;31;Profesional especializacion/master;Politica,Cientifica;6
Tyisha Ledner;Barranquilla;507-89-4292;M;6;55;Tecnico;;0
Miss Calvin Carroll;Barranquilla;009-66-0190;F;6;31;Tecnico;Farandula;6
Sean Gulgowski;Barranquilla;734-85-0828;M;3;40;Profesional;Economica,Farandula,Politica;5
Rocky Sporer;Santa Marta;528-10-8036;M;1;27;Profesional especializacion/master;Politica;4
Miss Sherwood Daugherty;Santa Marta;887-21-4984;M;1;32;Tecnico;Farandula,Economica,Politica;6
Bryanna Hoeger;Barranquilla;375-76-3779;M;4;19;Profesional;;0
Enola Conroy;Santa Marta;861-79-5033;F;2;60;Profesional;;0
Margarito MacGyver CPA;Santa Marta;633-08-6012;M;6;22;Tecnico;Cientifica,Economica,Farandula,Politica;6
Phillis Smitham;Barranquilla;790-64-5821;F;6;55;Tecnico;;0
Timmy Sawayn;Barranquilla;444-38-0876;M;1;17;Profesional;;0
Huong Marquardt;Santa Marta;725-17-6056;F;4;23;Tecnico;Cientifica;6
Zenia Jacobs;Cartagena;048-46-7627;F;4;43;Profesional;Farandula;6
Cassey Yost;Barranquilla;624-28-9837;F;6;39;Tecnico;Politica,Farandula,Economica;4
Ligia Adams;Barranquilla;320-96-8131;F;5;40;Tecnico;Farandula,Cientifica,Economica;6
The Hon. Jay Bernier;Barranquilla;821-75-3581;F;1;27;Profesional especializacion/master;Economica,Farandula,Politica;6
Christena Ortiz LLD;Barranquilla;391-43-4310;F;3;50;Profesional doctorado;;0
Derek Johnson;Barranquilla;627-45-0661;F;2;52;Profesional;Politica;1
Marin Cole;Santa Marta;745-03-9947;M;3;57;Profesional especializacion/master;Cientifica;1
Marco Johnson;Barranquilla;399-03-5055;F;4;26;Tecnico;Politica,Economica;4
Hailey MacGyver;Cartagena;450-67-0279;F;5;14;Colegio;;0
Setsuko Hirthe;Santa Marta;755-70-4156;M;5;40;Profesional;Farandula,Economica,Politica,Cientifica;4
Ignacio Cormier;Santa Marta;067-33-9065;F;1;29;Tecnico;Farandula,Cientifica,Politica;5
Marti Gulgowski;Cartagena;837-85-8994;F;5;37;Profesional especializacion/master;Politica,Economica,Farandula;4
Prof. Melanie Steuber;Santa Marta;240-92-7699;F;1;59;Tecnico;Politica,Economica,Farandula;1
Marion Kozey;Barranquilla;742-62-9518;F;1;54;Profesional;Cientifica,Politica;1
Amb. Horacio Mills;Barranquilla;493-85-7304;M;5;39;Tecnico;Cientifica,Economica,Politica;5
Miss Lorene Adams;Santa Marta;423-89-3593;F;3;50;Profesional doctorado;Farandula,Politica;1
Rafael Price;Cartagena;078-85-4031;F;1;33;Tecnico;Farandula;6
Sen. Ivan Davis;Santa Marta;880-42-7491;F;2;46;Profesional;Farandula;1
Genaro Gerhold;Cartagena;786-22-8447;F;5;16;Tecnico;;0
Lezlie Paucek;Cartagena;676-98-9161;F;1;36;Profesional especializacion/master;Farandula;5
Makeda Herzog;Santa Marta;795-08-1728;F;1;57;Tecnico;Farandula,Economica,Politica,Cientifica;1
Zachary Mosciski;Barranquilla;414-62-1734;F;6;35;Tecnico;Cientifica,Economica;6
Kirsten Lowe;Santa Marta;538-64-4921;M;1;55;Profesional;;0
Zackary Satterfield LLD;Santa Marta;083-72-9790;M;2;35;Profesional;Economica;6
Pres. Quentin Dibbert;Barranquilla;059-95-3733;M;3;35;Profesional especializacion/master;Economica,Farandula;6
Clay Zboncak;Santa Marta;119-80-8560;F;6;15;Colegio;Farandula,Economica,Politica,Cientifica;1
Marcellus Funk IV;Barranquilla;335-11-3721;F;4;15;Colegio;;0
Venus Hodkiewicz;Santa Marta;453-12-1409;M;2;23;Tecnico;Politica;6
Winston Haag;Santa Marta;646-02-0029;F;4;34;Tecnico;Farandula,Cientifica;5
Anitra Adams;Santa Marta;870-47-2960;M;3;24;Profesional;Farandula,Politica,Economica,Cientifica;5
Lauren Heller;Cartagena;473-01-6267;F;5;53;Profesional;Farandula,Economica,Politica;1
Martine Toy;Cartagena;607-28-5409;F;3;40;Profesional;Cientifica,Economica,Farandula,Politica;5
Amb. Blaine Mueller;Cartagena;632-26-5905;M;6;46;Tecnico;Farandula,Economica,Cientifica;1
Melvin Predovic;Santa Marta;597-77-8407;F;4;18;Profesional;;0
Gilberto Jones;Santa Marta;276-75-4676;F;3;54;Profesional;Politica,Cientifica,Farandula,Economica;1
Kareen Stracke;Cartagena;505-93-9990;M;1;45;Tecnico;Cientifica;5
Tracey Metz;Cartagena;691-15-7182;F;3;50;Profesional;Politica,Farandula,Economica;1
Juan Jast;Cartagena;739-62-6966;F;1;46;Profesional especializacion/master;Farandula,Cientifica,Economica,Politica;1
Antonio Kovacek PhD;Cartagena;819-94-1094;F;6;55;Profesional especializacion/master;Economica,Cientifica,Politica;1
Bryant Bernier;Barranquilla;367-49-0010;M;5;19;Tecnico;;0
Prof. Katharine Grimes;Cartagena;744-25-4169;M;4;14;Colegio;;0
Otilia Watsica;Barranquilla;221-54-4094;M;4;25;Tecnico;Farandula,Cientifica;4
Harris Kuphal;Santa Marta;656-05-3041;M;3;19;Tecnico;;0
Simon Lind;Cartagena;467-20-5077;F;4;25;Profesional;Economica,Cientifica,Politica;6
Msgr. Gail Wuckert;Barranquilla;287-15-2348;F;6;54;Profesional;;0
Fr. Neville Beatty;Barranquilla;823-66-9698;M;6;47;Profesional especializacion/master;;0
Elva Gibson;Santa Marta;287-86-9588;F;3;45;Tecnico;Cientifica;5
Sol Tromp;Santa Marta;446-88-6035;M;1;16;Tecnico;;0
Jae Lubowitz;Santa Marta;336-35-1217;F;2;43;Profesional;Cientifica,Farandula;6
Rema Kassulke;Barranquilla;368-55-7329;M;6;30;Tecnico;Cientifica,Politica,Economica,Farandula;4
Jorge Jast;Barranquilla;215-52-7931;M;1;48;Profesional especializacion/master;;0
Alayna Kub;Santa Marta;017-58-6309;M;6;21;Profesional;;0
Carlos Pfannerstill;Cartagena;543-28-7773;F;1;27;Profesional;Politica,Economica;4
Moses Parker;Barranquilla;557-31-9582;F;3;39;Tecnico;Cientifica,Farandula,Economica,Politica;4
Cassie Grant;Cartagena;399-32-5686;M;6;59;Tecnico;;0
Delmer Nolan;Santa Marta;874-57-4985;F;5;23;Tecnico;Politica,Farandula;5
Myriam Runte;Cartagena;111-83-0377;M;1;30;Profesional;Politica,Farandula,Cientifica,Economica;6
Prof. Fabian Hane;Cartagena;171-73-9188;M;1;44;Profesional;Farandula,Economica,Cientifica,Politica;5
Msgr. Fritz Harris;Santa Marta;177-31-0238;M;5;34;Profesional;Politica,Farandula,Economica;6
Jorge Schamberger;Barranquilla;398-89-9696;M;2;54;Tecnico;Cientifica,Politica,Farandula,Economica;1
Yelena Hoeger;Cartagena;629-49-6542;M;4;34;Tecnico;Economica;4
Gilberto Heaney II;Barranquilla;024-97-6047;F;1;45;Tecnico;Farandula,Politica;4
Lynwood Corkery;Barranquilla;773-84-1424;M;6;44;Tecnico;Farandula,Politica,Cientifica;4
Barton Greenfelder;Cartagena;001-45-9608;M;1;44;Profesional;Economica,Cientifica,Farandula,Politica;5
Amb. Nathalie Olson;Barranquilla;821-92-9241;F;2;48;Tecnico;;0
Rosario Parker;Cartagena;844-56-9178;M;1;40;Tecnico;Politica,Farandula,Economica,Cientifica;4
Vern Kautzer VM;Barranquilla;630-37-9639;M;5;29;Tecnico;Economica,Cientifica,Farandula,Politica;6
Allene Lakin III;Barranquilla;293-56-2254;M;3;25;Profesional;Cientifica;4
Bradly McCullough;Santa Marta;077-26-2394;F;3;48;Profesional;;0
Cristy Homenick;Santa Marta;617-40-3221;M;1;55;Tecnico;;0
Madonna Graham MD;Barranquilla;471-29-2245;F;5;59;Profesional;;0
Prof. Ozella Ebert;Santa Marta;227-13-7858;F;1;47;Profesional especializacion/master;Cientifica,Economica,Farandula;1
Consuelo Thiel;Barranquilla;616-69-4493;M;1;27;Tecnico;Cientifica,Politica;6
Angele Morar;Barranquilla;526-37-3808;M;4;38;Tecnico;Cientifica,Farandula,Politica,Economica;6
Hong Bogan;Barranquilla;058-34-6246;M;3;60;Tecnico;;0
Jean Sawayn;Cartagena;403-84-2722;F;1;22;Profesional;Economica,Cientifica;4
Dot Hoppe;Barranquilla;185-11-3524;F;6;22;Tecnico;Politica,Economica,Farandula;5
Stephania O'Hara;Santa Marta;206-20-0162;M;4;40;Profesional doctorado;Politica,Cientifica;6
Thurman Daniel;Santa Marta;504-70-1149;F;4;38;Tecnico;Economica,Politica;6
Chelsie Romaguera CPA;Barranquilla;306-97-3377;M;1;28;Tecnico;Economica,Politica,Cientifica,Farandula;5
Eusebia Kutch;Cartagena;180-34-8716;M;1;30;Profesional especializacion/master;Politica,Cientifica,Farandula;6
Lyndsey Jast;Santa Marta;296-79-0756;F;4;25;Profesional;Economica,Cientifica;4
Robt Kerluke;Cartagena;660-79-5052;F;5;46;Tecnico;Politica;1
Dr. Arvilla McGlynn;Cartagena;384-82-2786;M;3;55;Profesional;Politica,Farandula,Cientifica,Economica;1
Evette Reynolds DDS;Barranquilla;181-47-9510;F;5;46;Tecnico;Farandula,Cientifica;1
Connie Schroeder;Barranquilla;114-63-2584;F;4;35;Profesional especializacion/master;Politica,Cientifica,Farandula,Economica;4
Jesenia Jacobi;Barranquilla;376-72-2392;F;3;53;Profesional doctorado;;0
Mr. Luanna Altenwerth;Cartagena;305-29-3893;M;1;57;Tecnico;;0
Vincenzo Lehner;Cartagena;037-43-9930;F;6;24;Profesional;Farandula,Cientifica,Economica;6
Nick Schmeler;Santa Marta;150-31-5824;F;5;55;Tecnico;Cientifica,Economica;1
Cory Wunsch;Cartagena;192-46-9234;F;3;18;Profesional;Cientifica;1
Teodora Homenick IV;Barranquilla;529-61-6754;M;5;58;Profesional;;0
Palmira Jones;Santa Marta;255-91-4839;F;1;43;Tecnico;Farandula;4
Kelle Watsica;Cartagena;360-98-1553;M;4;58;Tecnico;Farandula;1
Ron Yundt;Santa Marta;892-03-8246;M;6;33;Profesional;Cientifica;5
Mr. Cris Vandervort;Barranquilla;857-58-3412;F;1;45;Profesional;Economica,Cientifica,Farandula,Politica;5
Nathan Wiegand;Barranquilla;481-72-8825;F;3;58;Profesional;Politica,Cientifica,Economica;1
Julio Heaney Jr.;Cartagena;536-32-2473;F;5;29;Profesional especializacion/master;Politica,Cientifica,Economica,Farandula;5
Marchelle Hilpert;Santa Marta;480-77-8045;M;5;28;Tecnico;Cientifica,Politica;4
Alonso Marvin;Santa Marta;671-79-1496;F;3;25;Profesional;Politica,Economica,Farandula;6
Robbin Kreiger;Santa Marta;404-51-7143;M;5;52;Tecnico;Cientifica,Politica,Farandula;1
Rolando Oberbrunner;Santa Marta;133-70-6868;M;2;20;Tecnico;Economica;1
Claude Moore;Santa Marta;041-63-7490;F;4;17;Profesional;Cientifica,Farandula;1
Miss Vickie Turcotte;Santa Marta;721-25-5250;M;4;21;Profesional;;0
Pres. Abdul Schiller;Santa Marta;349-53-0046;M;3;16;Tecnico;;0
Miss Millard Johnson;Cartagena;887-79-3831;F;4;17;Profesional;;0
Blake Spinka;Cartagena;390-84-9738;M;5;57;Tecnico;;0
Tessa Stokes;Barranquilla;555-05-2049;F;6;57;Profesional doctorado;;0
Yuette Schaden;Cartagena;748-89-1639;F;2;58;Tecnico;;0
Dalila Lesch DDS;Santa Marta;391-28-0217;F;3;53;Profesional especializacion/master;;0
Kristopher Ankunding;Barranquilla;686-81-2537;F;3;60;Profesional;;0
Benito Bergnaum Ret.;Cartagena;752-25-4660;M;6;38;Profesional;Cientifica;4
Etha Bradtke;Barranquilla;007-42-1102;F;3;31;Tecnico;Politica;5
Willard Rippin;Barranquilla;327-58-4061;M;6;44;Profesional;Economica;6
Fr. Danilo Schaden;Santa Marta;124-29-3486;F;1;25;Profesional;Farandula,Economica,Politica;4
Frankie Beer;Cartagena;009-38-0452;M;4;36;Tecnico;Cientifica;4
Fr. Chet Grimes;Cartagena;006-53-7612;M;4;23;Tecnico;Farandula,Economica,Cientifica;5
Benny Jast;Cartagena;834-24-0196;F;2;26;Tecnico;Cientifica,Farandula,Politica,Economica;6
Donn Flatley;Santa Marta;301-60-7690;F;3;42;Profesional;Politica,Economica;6
Rep. Venita Kovacek;Santa Marta;135-87-7298;F;6;49;Profesional especializacion/master;;0
Rafael O'Hara;Santa Marta;423-92-0894;F;1;57;Tecnico;Politica,Cientifica,Farandula,Economica;1
Naida Littel;Santa Marta;111-18-2353;F;3;26;Tecnico;Economica,Farandula,Politica;5
Fidel Ortiz;Santa Marta;634-39-3844;M;4;29;Profesional;Politica;4
Booker Lakin DO;Santa Marta;210-66-0721;M;2;39;Profesional;Cientifica,Economica,Farandula,Politica;6
Jere Champlin Jr.;Cartagena;023-93-7169;M;6;24;Profesional;Economica,Politica,Cientifica;4
Mazie Witting;Barranquilla;637-52-2823;M;2;37;Profesional;Economica,Cientifica,Politica,Farandula;4
Mr. Gilberto Olson;Cartagena;840-22-4915;F;1;54;Tecnico;Economica,Farandula;1
Leandro Cummings;Cartagena;392-61-7713;M;5;56;Tecnico;Farandula,Politica,Economica;1
Jewell Hartmann;Barranquilla;649-49-2135;F;2;29;Profesional;Economica,Farandula;6
Queen Leannon;Santa Marta;266-97-1426;M;1;55;Profesional especializacion/master;Cientifica,Economica,Politica;1
Lavern Labadie;Cartagena;647-50-6534;F;4;31;Profesional;Farandula,Cientifica,Economica;4
Margene Casper;Barranquilla;836-02-2822;F;2;51;Profesional;;0
Aron Boyle;Santa Marta;769-78-0741;F;1;42;Profesional;Farandula,Cientifica;4
Gemma O'Reilly;Cartagena;687-48-5120;F;5;54;Tecnico;;0
Juliet Morar;Barranquilla;036-71-4950;F;2;21;Tecnico;;0
Tai Crist;Cartagena;748-70-7109;M;6;25;Tecnico;Politica,Economica;5
Msgr. Glayds Gibson;Santa Marta;618-20-4388;M;5;22;Profesional;Farandula,Politica,Cientifica;5
Msgr. Sha Moore;Barranquilla;353-43-8403;M;2;59;Tecnico;;0
Jacinta Leannon;Barranquilla;484-46-7253;M;3;22;Tecnico;Politica,Economica,Cientifica;6
Ms. Genaro Kihn;Cartagena;423-50-6839;F;6;15;Colegio;Economica,Politica;1
Orville Medhurst;Santa Marta;161-33-8116;M;4;21;Tecnico;Farandula;1
Jeniffer Paucek;Barranquilla;358-88-3363;F;4;33;Tecnico;Economica,Cientifica,Politica,Farandula;4
Wiley Green;Barranquilla;134-38-7591;F;1;28;Profesional especializacion/master;Cientifica,Farandula,Politica;4
Josue Trantow Sr.;Santa Marta;756-17-4811;M;2;35;Tecnico;Farandula,Economica,Politica;5
Dori Hickle;Cartagena;357-49-4370;M;1;60;Tecnico;;0
Tyson Leannon;Barranquilla;585-03-5029;M;1;23;Tecnico;Politica,Economica,Cientifica;5
Myles Mann;Barranquilla;236-92-4821;F;3;33;Profesional;Farandula,Economica,Politica,Cientifica;4
Francie Schuster;Santa Marta;721-75-9197;M;6;25;Tecnico;Politica,Cientifica;6
Lowell Thompson;Barranquilla;594-01-9826;F;1;60;Profesional;;0
Mozell Wolf;Cartagena;486-60-7441;M;2;34;Profesional especializacion/master;Politica,Cientifica;4
Kasey Quigley;Santa Marta;060-79-5766;F;1;16;Profesional;;0
Sharron Terry JD;Cartagena;809-92-2983;F;6;30;Profesional;Farandula,Politica,Cientifica;6
Clair Bergstrom CPA;Cartagena;238-79-1441;M;1;30;Tecnico;Farandula,Economica,Politica;4
Reid Hayes;Cartagena;299-48-5890;F;3;24;Profesional;Politica,Cientifica,Economica;4
Loyd Larson;Santa Marta;320-38-2450;M;1;53;Profesional;;0
Gonzalo Pacocha;Santa Marta;647-04-8833;M;6;23;Profesional;Politica,Cientifica,Farandula,Economica;4
Ray Glover;Cartagena;863-10-7026;M;6;25;Profesional;Cientifica,Economica;6
Cleta Hauck;Barranquilla;099-58-7975;F;5;21;Profesional;Economica,Politica,Cientifica;1
Prof. Raymundo Mills;Barranquilla;176-27-6077;M;6;45;Tecnico;Cientifica,Farandula;6
Tyrell Schaden;Barranquilla;483-38-0721;F;5;32;Profesional;Economica,Farandula;5
Gwenn Parker;Cartagena;080-26-0287;M;4;14;Colegio;Politica,Farandula;1
Shalanda Stracke;Barranquilla;618-46-3415;M;3;19;Profesional;Politica,Farandula,Cientifica,Economica;1
Adam Ward;Barranquilla;096-34-7377;F;5;39;Tecnico;Politica;6
Chester Donnelly;Barranquilla;366-13-2967;M;3;15;Colegio;;0
Fr. Maren Macejkovic;Cartagena;069-15-7347;F;4;19;Tecnico;Politica,Cientifica;1
Jewell Murray;Cartagena;804-75-2369;M;4;19;Tecnico;;0
Selena Mills;Cartagena;194-62-5874;M;5;43;Tecnico;Farandula,Politica,Cientifica,Economica;6
Alphonso Hahn;Cartagena;563-64-1416;M;6;43;Profesional doctorado;Economica,Farandula,Politica,Cientifica;5
The Hon. Darrin Nitzsche;Santa Marta;796-36-2421;F;6;37;Profesional;Politica,Economica;5
Rodger Schneider;Santa Marta;390-17-4915;M;1;18;Profesional;Politica,Economica,Farandula,Cientifica;1
Aileen Zemlak DDS;Barranquilla;049-33-1723;M;5;57;Profesional;;0
Lula Torp;Barranquilla;463-89-1429;F;5;15;Colegio;Farandula;1
Warren Terry;Barranquilla;831-26-3371;F;1;43;Tecnico;Farandula;5
Gabriella Stroman;Barranquilla;745-04-4547;F;6;29;Tecnico;Politica,Economica;4
Stacey Kuhic;Santa Marta;694-74-5080;F;4;18;Profesional;Farandula,Economica,Politica,Cientifica;1
Hee Corwin;Santa Marta;008-39-8458;F;3;17;Tecnico;Farandula;1
Prof. Douglas Okuneva;Santa Marta;780-14-1038;M;1;56;Tecnico;Cientifica,Economica,Farandula,Politica;1
Trenton Sawayn;Barranquilla;636-34-6021;M;2;20;Profesional;;0
Jim Halvorson III;Santa Marta;321-41-8962;M;6;46;Tecnico;;0
Tinisha Hayes;Barranquilla;328-57-7626;F;2;37;Tecnico;Cientifica,Farandula,Politica;6
Leonia Sporer LLD;Barranquilla;669-65-2173;M;5;24;Tecnico;Cientifica,Farandula,Economica,Politica;4
Alissa Hirthe;Cartagena;402-84-7149;M;2;42;Tecnico;Economica,Politica,Farandula;6
Harrison Okuneva;Cartagena;067-66-0351;F;1;33;Tecnico;Economica,Cientifica,Politica;4
Lauran Waelchi;Cartagena;188-77-6293;M;1;40;Tecnico;Cientifica,Politica,Farandula,Economica;4
Antony Goyette;Cartagena;457-48-6070;M;5;23;Profesional;Farandula,Economica;6
Pres. Iesha Mante;Cartagena;842-43-8869;M;1;34;Profesional;Politica,Farandula,Cientifica;5
Winston Greenholt;Barranquilla;235-72-5193;M;6;25;Tecnico;Politica,Economica,Cientifica;6
Rozella Fritsch;Cartagena;863-70-0713;F;1;45;Profesional;Cientifica,Farandula;5
Magdalene Collier;Barranquilla;022-37-3505;M;2;20;Profesional;Farandula,Cientifica,Economica;1
Hans Grant;Cartagena;885-22-0216;F;3;21;Profesional;;0
Mrs. Katia Wolff;Santa Marta;404-43-4405;F;1;37;Tecnico;Farandula,Economica,Politica;4
Delmer Hilpert DC;Cartagena;048-80-5691;M;5;14;Colegio;Politica,Cientifica,Economica,Farandula;1
Britt Koss;Santa Marta;730-48-9258;F;5;58;Profesional especializacion/master;;0
Weston Gislason JD;Cartagena;480-11-1815;M;3;37;Profesional especializacion/master;Economica,Cientifica,Politica;4
Val Zboncak;Cartagena;387-27-5967;F;1;59;Profesional doctorado;Economica,Farandula;1
Oscar Mayert Jr.;Cartagena;133-30-3526;F;2;33;Profesional;Farandula,Politica,Economica;6
Jann Macejkovic;Santa Marta;119-06-4529;M;5;29;Profesional;Economica,Cientifica,Politica;4
Pres. Melinda Boyer;Santa Marta;181-88-1041;M;2;44;Profesional;Cientifica;6
Carolee Kemmer;Barranquilla;823-98-3642;F;5;33;Profesional especializacion/master;Farandula,Cientifica,Politica,Economica;4
Felicita Skiles;Santa Marta;848-26-3301;M;6;24;Profesional;Politica,Farandula,Cientifica;4
Donnie Johnson;Cartagena;437-97-1044;F;2;17;Tecnico;Cientifica,Farandula,Politica;1
Arturo Jones;Cartagena;429-95-4868;M;2;53;Profesional doctorado;Farandula,Economica;1
Cleveland Hudson DVM;Barranquilla;688-83-4219;M;1;40;Tecnico;Farandula,Cientifica;6
Diane Wehner;Barranquilla;397-51-0528;F;1;54;Profesional especializacion/master;;0
Mrs. Ricky Stanton;Santa Marta;154-11-4853;F;4;28;Profesional especializacion/master;Cientifica,Politica;4
Reanna Schuppe;Santa Marta;349-56-8150;M;3;38;Profesional;Cientifica,Farandula,Politica;5
Omar Heathcote;Barranquilla;405-15-9931;M;6;31;Tecnico;Cientifica,Economica,Farandula;6
Quentin Ritchie;Cartagena;630-24-7577;M;4;20;Tecnico;;0
Dee Dicki;Barranquilla;257-51-0342;M;2;18;Profesional;Cientifica,Economica,Farandula,Politica;1
Kenneth Koelpin;Cartagena;662-89-2122;F;1;31;Profesional;Cientifica,Farandula;4
Otis Feest;Barranquilla;414-85-5200;M;4;34;Profesional;Farandula,Economica,Politica;4
Corrina Okuneva;Barranquilla;662-66-1131;M;1;36;Tecnico;Economica,Farandula,Politica,Cientifica;6
Charlena Kiehn DO;Santa Marta;256-79-1202;F;5;31;Tecnico;Farandula,Politica,Economica;6
Wilmer Wehner;Cartagena;123-99-8958;M;3;31;Tecnico;Politica,Economica,Cientifica,Farandula;5
Florencio Feeney II;Cartagena;071-87-0046;M;2;36;Profesional;Farandula,Cientifica,Economica;5
Gregorio Schaden PhD;Barranquilla;639-58-9919;F;3;24;Profesional;Politica,Farandula;5
Salley Schiller;Barranquilla;791-10-6239;F;3;15;Colegio;Farandula,Politica,Cientifica;1
Miss Delmar MacGyver;Cartagena;715-46-0913;F;2;59;Tecnico;;0
Hung Conroy;Barranquilla;352-96-0284;M;1;41;Tecnico;Politica,Farandula,Cientifica;4
Miquel Moore Esq.;Cartagena;258-77-4276;M;3;41;Profesional especializacion/master;Cientifica,Economica,Politica;6
Clark Boyle DDS;Barranquilla;188-92-4512;F;2;44;Profesional;Farandula;6
Fletcher Spinka;Santa Marta;420-42-5185;F;3;20;Profesional;Economica,Cientifica,Farandula;1
Nick Christiansen;Cartagena;470-16-1480;M;5;28;Tecnico;Politica,Economica,Cientifica,Farandula;6
Kaitlyn Kilback;Santa Marta;694-05-7426;M;2;41;Profesional;Farandula,Cientifica,Economica;5
The Hon. Kisha Runolfsdottir;Barranquilla;788-81-2691;F;3;45;Profesional;Farandula;5
Doug Nader V;Cartagena;332-67-6919;F;4;33;Profesional doctorado;Farandula,Economica,Cientifica,Politica;4
Fr. Nickie Corkery;Barranquilla;152-12-7929;F;6;21;Tecnico;;0
Steve Towne;Santa Marta;572-87-2912;F;5;29;Tecnico;Politica,Economica,Farandula,Cientifica;5
Colby Koss;Santa Marta;106-82-8543;F;1;23;Profesional;Farandula,Cientifica,Politica;5
Concepcion Maggio JD;Cartagena;044-04-1620;M;5;38;Profesional;Farandula,Cientifica;5
Dario Hilpert;Barranquilla;534-89-6126;M;2;56;Tecnico;;0
Kristel Parker Sr.;Barranquilla;366-15-5548;M;2;37;Profesional;Farandula,Economica;4
King Sanford;Santa Marta;181-58-6118;F;6;30;Tecnico;Politica;6
Calvin Boyle;Barranquilla;010-36-9854;M;3;28;Tecnico;Farandula,Cientifica;6
Angella Lesch;Santa Marta;122-80-9400;M;6;17;Profesional;Economica,Cientifica;1
Hiram Klocko;Cartagena;842-54-6705;F;3;44;Tecnico;Farandula;4
